city,n,mae_specs,mae_image,delta
Big Bear,41,217777.7349593496,253983.53821138214,36205.80325203255
Los Angeles,53,214251.80880503147,276520.9597484277,62269.150943396206
San Diego,106,200712.34088050315,237898.07295597484,37185.73207547169
La Quinta,52,157003.55256410257,243486.57307692306,86483.02051282048
Oceanside,35,139826.39619047617,160437.06285714285,20610.666666666686
Riverside,43,114569.27751937984,118864.88527131785,4295.607751938005
Fontana,40,104355.68166666667,113862.39333333331,9506.71166666664
Corona,33,91827.66262626264,200627.93535353537,108800.27272727274
Palmdale,33,62893.34141414141,290521.5111111111,227628.16969696968
Lancaster,46,44094.16811594203,278897.8086956522,234803.64057971013
