variant,model,mae,rmse,sse,median_abs,max_abs,within_50k,within_100k,within_200k,n
specs only,linear,164904.18734872263,237480.85549068035,130897800757762.72,112226.61663061852,1651769.9306970048,0.23352003446790176,0.45626884963377856,0.7208099956915123,2321
specs only,tree,144465.53218099373,224237.1613664409,116705228831953.56,83840.53333333333,1690836.3,0.3300301594140457,0.5596725549332184,0.7707884532529082,2321
specs only,knn,150031.36375125663,227432.0928928707,120054553312982.42,93499.93333333335,1618500.8,0.2951314088754847,0.5221887117621715,0.7630331753554502,2321
specs + raw image,linear,165083.65148091162,236013.2435961377,129284924925578.77,115982.45208088751,1623813.3207235446,0.23782852218871176,0.45411460577337354,0.7229642395519172,2321
specs + raw image,tree,158685.88075948274,239230.31906645498,132833488846240.44,99568.75,1404701.3,0.28608358466178374,0.5019388194743645,0.7436449806118053,2321
specs + raw image,knn,180560.99554789602,258936.69886174705,155618904734429.7,128859.93333333335,1576601.5333333332,0.2029297716501508,0.3959500215424386,0.6880654890133563,2321
specs + crop,linear,165042.55788788828,236611.25673082954,129940922290054.39,112037.65685312566,1656882.5972504474,0.24127531236535976,0.45282205945713055,0.7212408444635933,2321
specs + crop,tree,156298.8454813629,236991.64073109877,130359052679066.62,95147.76470588241,1696755.7272727273,0.3037483843171047,0.5196036191296854,0.7423524342955623,2321
specs + crop,knn,181397.82714347262,259578.91332876476,156391793620511.22,130893.33333333337,1605693.3333333333,0.20422231796639378,0.3916415338216286,0.6906505816458423,2321
specs + per-img norm,linear,165002.68098372288,236128.92495598175,129411693415213.86,114511.52284798585,1629956.4635524214,0.23179663937957776,0.4554071520896165,0.7229642395519172,2321
specs + per-img norm,tree,158261.02210034835,237265.8787557188,130660920651620.12,101072.40000000002,1663553.4666666668,0.2942697113313227,0.4976303317535545,0.7324429125376992,2321
specs + per-img norm,knn,180895.83978170328,260275.7612647875,157232598284459.97,128799.73333333328,1576501.5333333332,0.2076691081430418,0.4015510555794916,0.6945282205945713,2321
specs + crop+norm+HSV,linear,164957.82014835553,236177.53568853287,129464981632630.97,112344.15750166099,1678174.7381650582,0.23481258078414477,0.45282205945713055,0.7182249030590263,2321
specs + crop+norm+HSV,tree,155514.9166386059,235410.95719913938,128625917863812.28,96793.33333333331,1602995.3076923077,0.3093494183541577,0.5079707022834985,0.7432141318397243,2321
specs + crop+norm+HSV,knn,187892.7106706879,267817.15756019205,166476115359883.75,134840.0,1484753.4,0.1865575183110728,0.37570012925463164,0.6841878500646273,2321
